sensor,lat,lon,elev
308,"N 60 44' 6.4892""","E 11 32' 21.0378""",297.404
388,"N 60 44' 7.3265""","E 11 32' 22.8666""",295.751
351,"N 60 44' 9.2514""","E 11 32' 23.1461""",288.064
4613,"N 60 44' 9.2514""","E 11 32' 23.1461""",288.064
384,"N 60 44' 10.7238""","E 11 32' 24.2259""",288.462
202,"N 60 44' 12.2421""","E 11 32' 24.2157""",295.083
311,"N 60 44' 13.8081""","E 11 32' 24.9794""",300.09
4560,"N 60 44' 13.8081""","E 11 32' 24.9794""",300.09
375,"N 60 44' 15.3640""","E 11 32' 25.7137""",301.555
305,"N 60 44' 17.0161""","E 11 32' 26.5538""",300.339
357,"N 60 44' 19.0330""","E 11 32' 27.8955""",301.572
4822,"N 60 44' 19.0330""","E 11 32' 27.8955""",301.572
378,"N 60 44' 20.6072""","E 11 32' 29.3980""",300.055
399,"N 60 44' 22.0365""","E 11 32' 30.4678""",303.319
356,"N 60 44' 23.3312""","E 11 32' 30.3615""",300.898
5245,"N 60 44' 23.3312""","E 11 32' 30.3615""",300.898
398,"N 60 44' 24.7157""","E 11 32' 32.1889""",305.161
303,"N 60 44' 25.6338""","E 11 32' 34.6319""",308.712
317,"N 60 44' 27.4028""","E 11 32' 36.5466""",310.071
1777,"N 60 44' 27.4028""","E 11 32' 36.5466""",310.071
380,"N 60 44' 28.5506""","E 11 32' 38.7946""",310.187
379,"N 60 44' 29.3120""","E 11 32' 40.5858""",313.907
363,"N 60 44' 30.7719""","E 11 32' 42.6382""",319.552
4245,"N 60 44' 30.7719""","E 11 32' 42.6382""",319.552
353,"N 60 44' 32.0302""","E 11 32' 45.2091""",322.502
392,"N 60 44' 33.1339""","E 11 32' 46.8696""",323.038
312,"N 60 44' 34.3267""","E 11 32' 50.3309""",328.615
4840,"N 60 44' 34.3267""","E 11 32' 50.3309""",328.615
309,"N 60 44' 35.7592""","E 11 32' 52.9367""",338.709
383,"N 60 44' 36.7496""","E 11 32' 55.6633""",342.997
355,"N 60 44' 37.5334""","E 11 32' 57.8509""",349.991
5248,"N 60 44' 37.5334""","E 11 32' 57.8509""",349.991
